Start,Length,0,0.382,0.618,1,1.618,2.618,4.236,Total_Overlaps,loc_0,loc_0.382,loc_0.618,loc_1,loc_1.618,loc_2.618,loc_4.236
446,61,1,0,0,1,1,0,0,3,446,469.302,483.698,507,544.698,605.698,704.396
446,99,1,0,1,1,0,0,1,4,446,483.818,507.182,545,606.182,705.182,865.364
448,65,1,0,0,1,1,0,0,3,448,472.83,488.17,513,553.17,618.17,723.3399999999999
460,34,1,0,0,1,1,0,0,3,460,472.988,481.012,494,515.012,549.012,604.024
460,55,1,0,1,1,0,0,1,4,460,481.01,493.99,515,548.99,603.99,692.98
460,61,1,0,0,1,1,1,0,4,460,483.302,497.698,521,558.698,619.698,718.396
460,99,1,0,1,1,1,1,0,5,460,497.818,521.182,559,620.182,719.182,879.364
471,92,1,0,0,1,1,0,0,3,471,506.144,527.856,563,619.856,711.856,860.712
477,61,1,0,1,1,0,0,1,4,477,500.302,514.698,538,575.698,636.698,735.396
477,86,1,0,1,1,0,0,0,3,477,509.852,530.148,563,616.148,702.148,841.296
486,35,1,0,0,1,0,1,1,4,486,499.37,507.63,521,542.63,577.63,634.26
486,84,1,0,1,1,0,0,0,3,486,518.088,537.912,570,621.912,705.912,841.824
486,89,1,0,0,1,0,1,0,3,486,519.998,541.002,575,630.002,719.002,863.0039999999999
490,55,1,0,0,1,1,1,0,4,490,511.01,523.99,545,578.99,633.99,722.98
490,88,1,0,0,1,1,0,0,3,490,523.616,544.384,578,632.384,720.384,862.768
490,89,1,0,1,1,1,0,1,5,490,523.998,545.002,579,634.002,723.002,867.0039999999999
494,65,1,0,0,1,0,1,1,4,494,518.83,534.17,559,599.17,664.17,769.3399999999999
496,79,1,0,1,1,0,1,0,4,496,526.178,544.822,575,623.822,702.822,830.644
496,92,1,0,1,1,0,0,0,3,496,531.144,552.856,588,644.856,736.856,885.712
502,89,1,0,0,1,0,1,0,3,502,535.998,557.002,591,646.002,735.002,879.0039999999999
507,84,1,0,1,1,1,0,0,4,507,539.088,558.912,591,642.912,726.912,862.824
513,75,1,0,1,1,1,1,0,5,513,541.65,559.35,588,634.35,709.35,830.7
523,65,1,0,1,1,0,1,0,4,523,547.83,563.17,588,628.17,693.17,798.3399999999999
530,45,1,0,0,1,0,1,0,3,530,547.19,557.81,575,602.81,647.81,720.62
538,89,1,0,1,1,1,1,0,5,538,571.998,593.002,627,682.002,771.002,915.0039999999999
545,34,1,0,1,1,0,1,0,4,545,557.988,566.012,579,600.012,634.012,689.024
545,75,1,0,1,1,0,0,0,3,545,573.65,591.35,620,666.35,741.35,862.7
553,61,1,0,1,1,0,0,0,3,553,576.302,590.698,614,651.698,712.698,811.396
553,79,1,0,0,1,0,1,0,3,553,583.178,601.822,632,680.822,759.822,887.644
553,86,1,0,0,1,0,1,0,3,553,585.852,606.148,639,692.148,778.148,917.296
559,34,1,0,0,1,1,1,1,5,559,571.988,580.012,593,614.012,648.012,703.024
559,55,1,0,1,1,1,1,0,5,559,580.01,592.99,614,647.99,702.99,791.98
559,61,1,0,0,1,1,1,0,4,559,582.302,596.698,620,657.698,718.698,817.396
559,99,1,0,1,1,1,0,0,4,559,596.818,620.182,658,719.182,818.182,978.364
575,45,1,0,0,1,1,1,0,4,575,592.19,602.81,620,647.81,692.81,765.62
575,89,1,0,0,1,1,0,0,3,575,608.998,630.002,664,719.002,808.002,952.0039999999999
578,54,1,0,0,1,0,1,0,3,578,598.628,611.372,632,665.372,719.372,806.744
578,61,1,0,0,1,1,1,0,4,578,601.302,615.698,639,676.698,737.698,836.396
578,99,1,0,1,1,1,1,0,5,578,615.818,639.182,677,738.182,837.182,997.364
588,55,1,0,0,1,1,0,0,3,588,609.01,621.99,643,676.99,731.99,820.98
588,89,1,0,1,1,0,0,0,3,588,621.998,643.002,677,732.002,821.002,965.0039999999999
591,35,1,0,0,1,1,0,0,3,591,604.37,612.63,626,647.63,682.63,739.26
591,86,1,0,0,1,0,1,1,4,591,623.852,644.148,677,730.148,816.148,955.296
593,34,1,0,1,1,1,1,0,5,593,605.988,614.012,627,648.012,682.012,737.024
627,34,1,0,1,1,1,1,1,6,627,639.988,648.012,661,682.012,716.012,771.024
627,50,1,0,1,1,0,1,0,4,627,646.1,657.9,677,707.9,757.9,838.8
632,79,1,0,0,1,1,0,0,3,632,662.178,680.822,711,759.822,838.822,966.644
